priors_count,juv_fel_count,juv_misd_count,juv_other_count,age,race_0,race_1,race_2,race_3,race_4,race_5,sex_0,sex_1,ground_truth
0.3684210526315789,0.0,0.0,0.0,0.2307692307692307,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.0,0.0,0.0,0.0,0.0512820512820512,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0263157894736842,0.0,0.0,0.0,0.1794871794871795,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.3947368421052631,0.0,0.0,0.0,0.2307692307692307,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0526315789473684,0.0,0.0,0.0,0.1025641025641025,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.0263157894736842,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
0.0,0.0,0.0,0.0,0.1923076923076923,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0641025641025641,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
0.0263157894736842,0.0,0.0,0.0,0.0512820512820512,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.2894736842105263,0.0,0.0,0.0,0.5512820512820513,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0263157894736842,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.1052631578947368,0.0,0.0,0.0,0.3974358974358974,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
0.2105263157894736,0.0,0.0,0.0,0.282051282051282,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
0.0,0.0,0.0,0.0,0.0641025641025641,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
0.1578947368421052,0.0,0.0,0.0,0.2692307692307692,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.2105263157894736,0.0,0.0,0.0,0.3205128205128205,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.0,0.0,0.0,0.0,0.4102564102564102,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.0,0.2435897435897435,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.0,0.141025641025641,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0526315789473684,0.0,0.0,0.0,0.3974358974358974,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
0.0263157894736842,0.05,0.0,0.0,0.0641025641025641,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.0,0.0256410256410256,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.1282051282051282,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.1578947368421052,0.0,0.0,0.0,0.0512820512820512,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
0.0,0.0,0.0,0.0,0.0897435897435897,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
0.0,0.0,0.0,0.0,0.0384615384615384,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.0,0.2948717948717949,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
0.1578947368421052,0.0,0.0,0.0,0.282051282051282,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
