feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
0.95887,0.25,0.16129032258064518,0.0,0.08436213991769544,6.727,0.3151390319258497,0.38839127390446393,0.13043478260869565,0.17938931297709923,0.6808510638297872,1.0,0.09823399558498896,0.5111111111111111
0.96232,0.8,0.03885630498533725,0.0,0.039094650205761354,7.274,0.364572605561277,0.5619219961989288,0.043478260869565216,0.27099236641221375,0.0,0.9881486711382319,0.13493377483443708,0.6577777777777778
-2.67822,0.0,0.6466275659824048,0.0,0.7921810699588477,5.362,0.96086508753862,0.08857041529885697,1.0,0.9141221374045801,0.8085106382978723,0.9593776791567906,0.2334437086092715,0.35111111111111115
-14.0234,0.0,0.6466275659824048,0.0,0.47119341563786005,5.304,0.972193614830072,0.08830670461675562,1.0,0.9141221374045801,0.8085106382978723,0.8804276564627567,0.6396247240618101,0.15555555555555556
0.93112,0.0,0.07331378299120235,0.0,0.2119341563786008,6.144,0.6107106076210094,0.13351944638943702,0.08695652173913043,0.011450381679389313,0.5531914893617023,1.0,0.21302428256070635,0.6933333333333334
-87.9762,0.0,0.6466275659824048,0.0,0.5884773662551441,6.968,0.9165808444902164,0.026089170584437445,1.0,0.9141221374045801,0.8085106382978723,1.0,0.42715231788079466,0.12000000000000001
0.8324,0.0,0.2536656891495601,0.0,0.2222222222222222,6.426,0.5087538619979403,0.3101601360383381,0.17391304347826086,0.19083969465648856,0.74468085106383,1.0,0.15093818984547464,0.4177777777777778
0.04422999999999999,0.0,0.28152492668621704,0.0,0.3148148148148149,6.047,0.8846549948506693,0.30224881557529854,0.13043478260869565,0.22900763358778625,0.8936170212765957,0.7717484492410107,0.429083885209713,0.2177777777777778
0.77562,0.0,0.3383431085043988,0.0,0.41152263374485587,6.027,0.7909371781668383,0.12445325500822961,0.21739130434782608,0.3893129770992366,0.702127659574468,1.0,0.34768211920529796,0.26222222222222225
0.96763,0.0,0.06304985337243403,0.0,0.15020576131687244,6.998,0.44181256436663235,0.4485445898389546,0.08695652173913043,0.06679389312977099,0.648936170212766,0.9942760603156993,0.033388520971302425,0.6311111111111111
0.71608,0.0,0.2536656891495601,0.0,0.2222222222222222,5.708,0.7353244078269825,0.3265920395747893,0.17391304347826086,0.19083969465648856,0.74468085106383,0.9854506026526805,0.2762141280353201,0.3
0.87243,0.3,0.16385630498533724,0.0,0.088477366255144,6.393,0.050463439752832136,0.5370513508352354,0.21739130434782608,0.21564885496183206,0.4255319148936172,0.9440465984164608,0.09547461368653422,0.41555555555555557
0.66955,0.0,0.21041055718475077,0.0,0.25102880658436216,6.086,0.6035015447991762,0.22936463912557176,0.30434782608695654,0.22900763358778625,0.5106382978723403,0.9491905794543346,0.25248344370860926,0.4222222222222222
-1.1491799999999999,0.0,0.7008797653958944,0.0,1.0,5.709,0.984552008238929,0.044885376788003896,0.17391304347826086,0.4122137404580153,0.2234042553191489,0.6597155681073176,0.38796909492273723,0.31999999999999995
0.89672,0.25,0.1711876832844575,0.0,0.13991769547325103,5.927,0.45623069001029876,0.5276396075257573,0.30434782608695654,0.1851145038167939,0.7553191489361701,1.0,0.2066777041942605,0.3244444444444445
0.80461,0.0,0.37939882697947214,0.0,0.057613168724279774,6.245,0.03398558187435634,0.37807927688712273,0.13043478260869565,0.22519083969465647,0.702127659574468,0.9502496343738969,0.16032008830022076,0.40888888888888886
-0.8002800000000001,0.0,0.7008797653958944,0.0,0.4526748971193415,5.877,0.7857878475798147,0.1178786748992898,0.17391304347826086,0.4122137404580153,0.2234042553191489,0.5731252206364417,0.28725165562913907,0.4177777777777778
-23.3938,0.0,0.6466275659824048,0.0,0.648148148148148,4.652,1.0,0.030699560785312236,1.0,0.9141221374045801,0.8085106382978723,1.0,0.732615894039735,0.12222222222222222
0.50702,0.0,0.3460410557184751,0.0,0.32716049382716056,6.635,0.819773429454171,0.19895606943775063,0.13043478260869565,0.22328244274809161,0.6170212765957446,1.0,0.07753863134657836,0.39555555555555555
-7.4921299999999995,0.0,0.6466275659824048,0.0,0.4094650205761316,6.348,0.8568486096807414,0.08394183815438899,1.0,0.9141221374045801,0.8085106382978723,0.20961722729335824,0.4390176600441501,0.2111111111111111
-2.67367,0.0,0.6466275659824048,0.0,0.40740740740740733,6.312,0.5046343975283214,0.2602642562904091,1.0,0.9141221374045801,0.8085106382978723,0.9791214887286298,0.244205298013245,0.36
0.99094,0.9,0.09200879765395896,0.0,0.030864197530864227,7.088,0.18434603501544802,0.5617674071783866,0.0,0.18702290076335878,0.28723404255319157,0.9945030006556056,0.16887417218543044,0.6044444444444446
0.40995000000000004,0.0,0.7855571847507332,0.0,0.49176954732510286,6.372,0.9783728115345006,0.10892160517964153,0.13043478260869565,0.4770992366412214,0.9148936170212765,0.9719098290382773,0.2591059602649006,0.4
-4.20177,0.0,0.6466275659824048,1.0,0.7921810699588477,6.127,0.8290422245108137,0.14486809919159038,1.0,0.9141221374045801,0.8085106382978723,0.9962933077815321,0.2690397350993377,0.3933333333333333
0.86358,0.0,0.3713343108504399,0.0,0.21399176954732507,5.891,0.19979402677651908,0.2560539788485846,0.13043478260869565,0.1717557251908397,0.6382978723404257,1.0,0.25220750551876375,0.39111111111111113
