CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0.0008476163221611935,0.0,0.1315982404692082,0.0,0.257201646090535,0.4450038729666925,0.6776519052523172,0.14297665705789817,0.17391304347826086,0.20801526717557253,0.4255319148936172,0.9907458772504918,0.21283689913864962,22.6
0.0009776643376419654,0.4,0.218108504398827,0.0,0.12757201646090535,0.6376839659178932,0.41091658084449023,0.285325864561831,0.13043478260869565,0.12786259541984732,0.5319148936170215,1.0,0.027785495971103084,32.0
0.0010866933566707887,0.0,1.0,0.0,0.46090534979423864,0.4690162664601084,0.9876416065911431,0.0671552892178705,0.13043478260869565,1.0,0.7978723404255321,0.9828786121337436,0.4470686301750486,13.6
0.002094368774808317,0.0,0.37939882697947214,0.0,0.057613168724279774,0.519752130131681,0.03398558187435634,0.37807927688712273,0.13043478260869565,0.22519083969465647,0.702127659574468,0.9502496343738969,0.15448735759933316,23.4
0.0007415097304465446,0.33,0.06304985337243403,0.0,0.17901234567901228,0.7472889233152595,0.7106076210092689,0.17910502050577892,0.2608695652173913,0.06679389312977099,0.6170212765957446,1.0,0.12475687691025285,33.4
0.0008768405953029399,0.0,0.4534457478005865,0.0,0.10699588477366254,0.499419054996127,0.44181256436663235,0.2692486064254471,0.17391304347826086,0.4026717557251908,0.648936170212766,0.9749357002370266,0.23034176160044453,20.8
0.16876275892425002,0.0,0.6466275659824048,0.0,0.47119341563786005,0.3375290472501937,0.972193614830072,0.08830670461675562,1.0,0.9141221374045801,0.8085106382978723,0.8804276564627567,0.6371214226173937,12.0
0.01820424934419607,0.0,0.7855571847507332,0.0,0.49176954732510286,0.2823392718822619,1.0,0.028171575625858203,0.13043478260869565,0.4770992366412214,0.9148936170212765,1.0,0.901083634342873,14.4
0.04529031730142163,0.0,0.6466275659824048,0.0,0.3024691358024692,0.5166537567776918,0.9042224510813595,0.17911411397757548,1.0,0.9141221374045801,0.8085106382978723,0.996041151848303,0.30258405112531256,19.6
0.00242021942033879,0.0,0.3383431085043988,0.0,0.41152263374485587,0.47753679318357867,0.7909371781668383,0.12445325500822961,0.21739130434782608,0.3893129770992366,0.702127659574468,1.0,0.34315087524312304,16.8
0.001182346650684736,0.0,0.49230205278592376,1.0,0.33950617283950624,0.5445391169635942,0.92173017507724,0.20312087952059218,0.17391304347826086,0.16984732824427481,0.40425531914893603,0.9920318725099603,0.23673242567379826,23.0
0.0024259518739165944,0.125,0.27162756598240473,0.0,0.2860082304526749,0.5453137103020914,0.94129763130793,0.47441551710027374,0.17391304347826086,0.2366412213740458,0.276595744680851,0.988955570124565,0.513198110586274,15.0
0.06405870751830395,0.0,0.6466275659824048,0.0,0.3024691358024692,0.6175445391169636,0.741503604531411,0.20024734243286746,1.0,0.9141221374045801,0.8085106382978723,0.9903424277573252,0.16004445679355375,23.7
0.0008408722591284828,0.0,0.4534457478005865,0.0,0.10699588477366254,0.4479085979860573,0.34706488156539655,0.30672280369922433,0.17391304347826086,0.4026717557251908,0.648936170212766,0.9978818901608756,0.19783273131425394,20.3
0.0030894552752847846,0.0,0.2536656891495601,0.0,0.2222222222222222,0.4157629744384199,0.7353244078269825,0.3265920395747893,0.17391304347826086,0.19083969465648856,0.74468085106383,0.9854506026526805,0.2711864406779661,18.5
0.0029260241477920947,0.0,0.3460410557184751,0.0,0.32716049382716056,0.5238187451587917,0.8228630278063851,0.19398194036501196,0.13043478260869565,0.22328244274809161,0.6170212765957446,0.9911493267436583,0.16449013614893024,21.6
0.0017979672045206803,0.0,0.9233870967741935,0.0,0.40329218106995873,0.4695972114639814,0.8805355303810505,0.07850394202002382,0.043478260869565216,0.0019083969465648854,0.6914893617021278,0.9700438751323819,0.35648791330925256,21.4
0.18886456280374977,0.0,0.6466275659824048,0.0,0.648148148148148,0.332300542215337,0.9804325437693099,0.026962143876910764,1.0,0.9141221374045801,0.8085106382978723,1.0,0.8010558488469018,7.2
